year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2006,12401,3,9,34,124,140,,Summary,N,Antigo Unified,,2703,1185,43.84017758,1518,56.15982241
2006,12337,3,10,10,125,7,,Summary,N,Abbotsford,,666,311,46.69669669,355,53.3033033
2006,9302,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,1971,1133,57.4835109,838,42.51648909
2006,5927,3,2,23,38,63,,Summary,N,Albany,,433,63,14.54965357,370,85.45034642
2006,11290,3,7,31,33,70,,Summary,N,Algoma,,616,155,25.16233766,461,74.83766233
2006,14408,3,4,6,11,84,,Summary,N,Alma,,325,66,20.3076923,259,79.69230769
2006,14429,3,4,27,11,91,,Summary,N,Alma Center,,620,269,43.38709677,351,56.61290322
2006,17317,3,5,49,155,105,,Summary,N,Almond-Bancroft,,491,194,39.51120162,297,60.48879837
2006,15361,3,10,18,121,112,,Summary,N,Altoona,,1450,500,34.48275862,950,65.51724137
2006,9984,3,11,48,26,119,,Summary,N,Amery,,1788,500,27.96420581,1288,72.03579418
2006,17423,3,6,44,16,147,,Summary,N,Appleton Area,,15212,3812,25.05916381,11400,74.94083618
2006,14435,3,4,61,10,154,,Summary,N,Arcadia,,995,334,33.56783919,661,66.4321608
2006,5957,3,3,33,38,161,,Summary,N,Argyle,,357,93,26.05042016,264,73.94957983
2006,1323,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2382,16,0.67170445,2366,99.32829554
2006,16217,3,12,2,29,170,,Summary,N,Ashland,,2218,1124,50.67628494,1094,49.32371505
2006,12000,3,7,5,54,182,,Summary,N,Ashwaubenon,,3119,504,16.15902532,2615,83.84097467
2006,12450,3,9,37,125,196,,Summary,N,Athens,,549,138,25.13661202,411,74.86338797
2006,12472,3,5,71,126,203,,Summary,N,Auburndale,,863,239,27.69409038,624,72.30590961
2006,15393,3,10,18,120,217,,Summary,N,Augusta,,597,276,46.23115577,321,53.76884422
2006,10012,3,11,55,26,231,,Summary,N,Baldwin-Woodville Area,,1473,326,22.131704,1147,77.86829599
2006,14462,3,4,32,37,245,,Summary,N,Bangor,,640,145,22.65625,495,77.34375
2006,9326,3,5,56,114,280,,Summary,N,Baraboo,,2971,541,18.20935711,2430,81.79064288
2006,5979,3,3,25,38,287,,Summary,N,Barneveld,,438,53,12.10045662,385,87.89954337
2006,16384,3,11,3,18,308,,Summary,N,Barron Area,,1323,522,39.45578231,801,60.54421768
2006,16453,3,12,4,20,315,,Summary,N,Bayfield,,456,289,63.37719298,167,36.62280701
2006,9391,3,6,14,45,336,,Summary,N,Beaver Dam Unified,,3393,1055,31.09342764,2338,68.90657235
2006,11045,3,8,38,31,4263,,Summary,N,Beecher-Dunbar-Pembine,,257,143,55.64202334,114,44.35797665
2006,6000,3,2,13,117,350,,Summary,N,Belleville,,933,106,11.36120042,827,88.63879957
2006,6019,3,3,33,38,364,,Summary,N,Belmont Community,,329,46,13.98176291,283,86.01823708
2006,6066,3,2,53,3,413,,Summary,N,Beloit,,7169,4265,59.49225833,2904,40.50774166
2006,6067,3,2,53,159,422,,Summary,N,Beloit Turner,,1251,188,15.02797761,1063,84.97202238
2006,8734,3,3,33,38,427,,Summary,N,Benton,,276,87,31.52173913,189,68.47826086
2006,17531,3,6,24,53,434,,Summary,N,Berlin Area,,1674,489,29.21146953,1185,70.78853046
2006,3826,3,2,64,159,6013,,Summary,N,Big Foot UHS,,589,96,16.29881154,493,83.70118845
2006,16473,3,11,65,21,441,,Summary,N,Birchwood,,299,139,46.48829431,160,53.51170568
2006,7436,3,3,33,38,2240,,Summary,N,Black Hawk,,503,156,31.0139165,347,68.98608349
2006,14480,3,4,27,10,476,,Summary,N,Black River Falls,,1882,733,38.94792773,1149,61.05207226
2006,14509,3,4,61,11,485,,Summary,N,Blair-Taylor,,692,231,33.38150289,461,66.6184971
2006,15412,3,10,9,18,497,,Summary,N,Bloomer,,1147,296,25.80645161,851,74.19354838
2006,10429,3,8,58,156,602,,Summary,N,Bonduel,,897,235,26.19843924,662,73.80156075
2006,8772,3,3,22,131,609,,Summary,N,Boscobel Area,,928,388,41.81034482,540,58.18965517
2006,12495,3,8,58,155,623,,Summary,N,Bowler,,455,237,52.08791208,218,47.91208791
2006,15436,3,11,17,122,637,,Summary,N,Boyceville Community,,868,278,32.02764976,590,67.97235023
2006,3057,3,2,30,41,657,,Summary,N,Brighton #1,,205,20,9.75609756,185,90.24390243
2006,10445,3,7,8,32,658,,Summary,N,Brillion,,870,101,11.6091954,769,88.39080459
2006,2572,3,2,30,41,665,,Summary,N,Bristol #1,,576,52,9.02777777,524,90.97222222
2006,6201,3,2,23,159,700,,Summary,N,Brodhead,,1208,243,20.11589403,965,79.88410596
2006,5422,3,1,40,47,721,,Summary,N,Brown Deer,,1817,375,20.63841496,1442,79.36158503
2006,16484,3,10,54,21,735,,Summary,N,Bruce,,603,345,57.21393034,258,42.78606965
2006,2602,3,2,51,41,777,,Summary,N,Burlington Area,,3659,671,18.3383438,2988,81.66165619
2006,13669,3,12,2,20,840,,Summary,N,Butternut,,186,84,45.16129032,102,54.83870967
2006,15462,3,10,9,121,870,,Summary,N,Cadott Community,,859,266,30.96623981,593,69.03376018
2006,9458,3,5,11,43,882,,Summary,N,Cambria-Friesland,,470,105,22.34042553,365,77.65957446
2006,6236,3,2,13,117,896,,Summary,N,Cambridge,,950,74,7.78947368,876,92.21052631
2006,16508,3,11,3,21,903,,Summary,N,Cameron,,847,289,34.12042502,558,65.87957497
2006,907,3,6,20,14,910,,Summary,N,Campbellsport,,1467,215,14.65576005,1252,85.34423994
2006,14532,3,4,41,37,980,,Summary,N,Cashton,,525,217,41.33333333,308,58.66666666
2006,8801,3,3,22,38,994,,Summary,N,Cassville,,290,82,28.27586206,208,71.72413793
2006,985,3,7,59,6,1029,,Summary,N,Cedar Grove-Belgium Area,,1053,88,8.35707502,965,91.64292497
2006,937,3,1,45,30,1015,,Summary,N,Cedarburg,,3125,103,3.296,3022,96.704
2006,3618,3,2,30,41,5054,,Summary,N,Central/Westosha UHS,,1243,124,9.97586484,1119,90.02413515
2006,15486,3,11,3,18,1078,,Summary,N,Chetek,,1009,410,40.63429137,599,59.36570862
2006,1008,3,7,8,32,1085,,Summary,N,Chilton,,1237,233,18.83589329,1004,81.1641067
2006,15526,3,10,9,4,1092,,Summary,N,Chippewa Falls Area Unified,,4665,1099,23.55841371,3566,76.44158628
2006,10047,3,11,48,21,1120,,Summary,N,Clayton,,440,182,41.36363636,258,58.63636363
2006,10058,3,11,48,21,1127,,Summary,N,Clear Lake,,652,160,24.5398773,492,75.46012269
