year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2002,48400,3,9,34,124,140,,Summary,N,Antigo Unified,,3022,1153,38.1535407,1869,61.84645929
2002,48398,3,10,10,125,7,,Summary,N,Abbotsford,,694,232,33.42939481,462,66.57060518
2002,48149,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,2132,1087,50.98499061,1045,49.01500938
2002,48307,3,2,23,38,63,,Summary,N,Albany,,461,52,11.27982646,409,88.72017353
2002,48388,3,7,31,33,70,,Summary,N,Algoma,,699,144,20.60085836,555,79.39914163
2002,48206,3,4,6,11,84,,Summary,N,Alma,,392,95,24.23469387,297,75.76530612
2002,48207,3,4,27,11,91,,Summary,N,Alma Center,,598,212,35.45150501,386,64.54849498
2002,48244,3,5,49,155,105,,Summary,N,Almond-Bancroft,,540,160,29.62962962,380,70.37037037
2002,48448,3,10,18,121,112,,Summary,N,Altoona,,1416,366,25.84745762,1050,74.15254237
2002,48160,3,11,48,26,119,,Summary,N,Amery,,1870,478,25.56149732,1392,74.43850267
2002,48483,3,6,44,16,147,,Summary,N,Appleton Area,,14800,2971,20.07432432,11829,79.92567567
2002,48435,3,4,61,10,154,,Summary,N,Arcadia,,880,209,23.75,671,76.25
2002,48118,3,3,33,38,161,,Summary,N,Argyle,,354,52,14.68926553,302,85.31073446
2002,48260,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2039,0,0,2039,100
2002,48230,3,12,2,29,170,,Summary,N,Ashland,,2277,1079,47.3869126,1198,52.61308739
2002,48395,3,7,5,54,182,,Summary,N,Ashwaubenon,,3206,323,10.07485963,2883,89.92514036
2002,48187,3,9,37,125,196,,Summary,N,Athens,,557,151,27.10951526,406,72.89048473
2002,48188,3,5,71,126,203,,Summary,N,Auburndale,,916,240,26.20087336,676,73.79912663
2002,48449,3,10,18,120,217,,Summary,N,Augusta,,659,298,45.22003034,361,54.77996965
2002,48161,3,11,55,26,231,,Summary,N,Baldwin-Woodville Area,,1357,186,13.70670596,1171,86.29329403
2002,48436,3,4,32,37,245,,Summary,N,Bangor,,682,172,25.21994134,510,74.78005865
2002,48345,3,5,56,114,280,,Summary,N,Baraboo,,3046,572,18.77872619,2474,81.2212738
2002,48121,3,3,25,38,287,,Summary,N,Barneveld,,440,47,10.68181818,393,89.31818181
2002,48232,3,11,3,18,308,,Summary,N,Barron Area,,1462,487,33.31053351,975,66.68946648
2002,48233,3,12,4,20,315,,Summary,N,Bayfield,,544,323,59.375,221,40.625
2002,48346,3,6,14,45,336,,Summary,N,Beaver Dam Unified,,3453,725,20.99623515,2728,79.00376484
