year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2012,7321,3,3,52,42,4851,,Summary,N,Richland,,1363,744,54.58547322,619,45.41452677
2012,2301,3,1,67,8,3122,,Summary,N,Richmond,,494,9,1.82186234,485,98.17813765
2012,9846,3,5,11,43,4865,,Summary,N,Rio Community,,498,193,38.75502008,305,61.24497991
2012,18212,3,6,20,53,4872,,Summary,N,Ripon Area,,1791,585,32.66331658,1206,67.33668341
2012,10280,3,11,47,4,4893,,Summary,N,River Falls,,3024,683,22.58597883,2341,77.41402116
2012,26800,3,3,22,38,4904,,Summary,N,River Ridge,,539,250,46.38218923,289,53.61781076
2012,7451,3,3,56,42,5523,,Summary,N,River Valley,,1316,493,37.46200607,823,62.53799392
2012,7162,3,3,22,131,3850,,Summary,N,Riverdale,,666,332,49.84984984,334,50.15015015
2012,18260,3,6,20,51,4956,,Summary,N,Rosendale-Brandon,,1034,235,22.72727272,799,77.27272727
2012,13101,3,5,49,155,4963,,Summary,N,Rosholt,,633,166,26.22432859,467,73.7756714
2012,9523,3,4,29,37,1673,,Summary,N,Royall,,594,310,52.18855218,284,47.81144781
2012,2047,3,6,14,45,4998,,Summary,N,Rubicon J6,,141,36,25.53191489,105,74.4680851
2012,10150,3,11,55,122,2422,,Summary,N,Saint Croix Central,,1537,367,23.87768379,1170,76.1223162
2012,10344,3,11,48,21,5019,,Summary,N,Saint Croix Falls,,1139,432,37.92800702,707,62.07199297
2012,5696,3,1,40,47,5026,,Summary,N,Saint Francis,,1306,515,39.43338437,791,60.56661562
2012,3619,3,2,30,41,5068,,Summary,N,Salem,,1042,342,32.82149712,700,67.17850287
2012,7372,3,5,56,114,5100,,Summary,N,Sauk Prairie,,2743,884,32.22748815,1859,67.77251184
2012,14870,3,3,12,35,5124,,Summary,N,Seneca,,312,179,57.37179487,133,42.62820512
2012,11614,3,7,15,33,5130,,Summary,N,Sevastopol,,516,202,39.14728682,314,60.85271317
2012,11122,3,7,44,2,5138,,Summary,N,Seymour Community,,2500,721,28.84,1779,71.16
2012,7399,3,2,64,159,5258,,Summary,N,Sharon J11,,285,164,57.54385964,121,42.45614035
2012,11151,3,8,58,2,5264,,Summary,N,Shawano,,2535,1206,47.57396449,1329,52.4260355
2012,2099,3,7,59,54,5271,,Summary,N,Sheboygan Area,,10129,4936,48.73136538,5193,51.26863461
2012,2234,3,7,59,14,5278,,Summary,N,Sheboygan Falls,,1810,564,31.16022099,1246,68.839779
2012,16903,3,11,65,21,5306,,Summary,N,Shell Lake,,668,395,59.13173652,273,40.86826347
2012,11193,3,6,44,156,5348,,Summary,N,Shiocton,,820,248,30.24390243,572,69.75609756
2012,4825,3,1,40,47,5355,,Summary,N,Shorewood,,2026,360,17.76900296,1666,82.23099703
2012,7420,3,3,33,38,5362,,Summary,N,Shullsburg,,353,141,39.94334277,212,60.05665722
2012,3648,3,2,30,41,5369,,Summary,N,Silver Lake J1,,552,219,39.67391304,333,60.32608695
2012,16927,3,11,7,21,5376,,Summary,N,Siren,,463,296,63.93088552,167,36.06911447
2012,2263,3,6,66,45,5390,,Summary,N,Slinger,,2987,495,16.57181118,2492,83.42818881
2012,16946,3,12,16,20,5397,,Summary,N,Solon Springs,,287,135,47.03832752,152,52.96167247
2012,10371,3,11,55,26,5432,,Summary,N,Somerset,,1618,347,21.44622991,1271,78.55377008
2012,3672,3,1,40,47,5439,,Summary,N,South Milwaukee,,3315,1392,41.99095022,1923,58.00904977
2012,16827,3,12,4,20,4522,,Summary,N,South Shore,,146,87,59.58904109,59,40.4109589
2012,11314,3,7,15,33,5457,,Summary,N,Southern Door County,,1146,374,32.63525305,772,67.36474694
2012,8929,3,3,22,131,2485,,Summary,N,Southwestern Wisconsin,,565,213,37.69911504,352,62.30088495
2012,14901,3,4,41,28,5460,,Summary,N,Sparta Area,,2643,1235,46.72720393,1408,53.27279606
2012,13159,3,10,37,120,5467,,Summary,N,Spencer,,777,276,35.52123552,501,64.47876447
2012,16180,3,11,65,18,5474,,Summary,N,Spooner Area,,1237,657,53.11236863,580,46.88763136
2012,16054,3,11,47,123,5586,,Summary,N,Spring Valley,,735,262,35.6462585,473,64.35374149
2012,16081,3,10,9,121,5593,,Summary,N,Stanley-Boyd Area,,986,484,49.08722109,502,50.9127789
2012,13193,3,5,49,46,5607,,Summary,N,Stevens Point Area Public,,7450,2784,37.36912751,4666,62.63087248
2012,2280,3,7,8,6,5614,,Summary,N,Stockbridge,,192,66,34.375,126,65.625
2012,1807,3,1,67,8,3542,,Summary,N,Stone Bank,,364,38,10.43956043,326,89.56043956
2012,7479,3,2,13,115,5621,,Summary,N,Stoughton Area,,3333,728,21.84218421,2605,78.15781578
2012,13308,3,9,37,126,5628,,Summary,N,Stratford,,896,234,26.11607142,662,73.88392857
2012,11615,3,7,15,33,5642,,Summary,N,Sturgeon Bay,,1226,542,44.20880913,684,55.79119086
2012,7533,3,2,13,3,5656,,Summary,N,Sun Prairie Area,,7095,1980,27.90697674,5115,72.09302325
2012,16979,3,12,16,29,5663,,Summary,N,Superior,,4775,2300,48.16753926,2475,51.83246073
2012,11224,3,8,42,25,5670,,Summary,N,Suring Public,,437,226,51.71624713,211,48.28375286
2012,1325,3,1,67,8,3510,,Summary,N,Swallow,,602,18,2.99003322,584,97.00996677
2012,16121,3,10,10,121,5726,,Summary,N,Thorp,,576,286,49.65277777,290,50.34722222
2012,14042,3,9,43,31,5733,,Summary,N,Three Lakes,,573,188,32.80977312,385,67.19022687
2012,13334,3,8,58,155,5740,,Summary,N,Tigerton,,267,161,60.29962546,106,39.70037453
