year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2008,12401,3,9,34,124,140,,Summary,N,Antigo Unified,,2626,1182,45.01142421,1444,54.98857578
2008,12337,3,10,10,125,7,,Summary,N,Abbotsford,,644,298,46.27329192,346,53.72670807
2008,9302,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,1909,1063,55.68360398,846,44.31639601
2008,5927,3,2,23,38,63,,Summary,N,Albany,,444,86,19.36936936,358,80.63063063
2008,11290,3,7,31,33,70,,Summary,N,Algoma,,609,221,36.28899835,388,63.71100164
2008,14408,3,4,6,11,84,,Summary,N,Alma,,301,88,29.23588039,213,70.7641196
2008,14429,3,4,27,11,91,,Summary,N,Alma Center,,608,310,50.9868421,298,49.01315789
2008,17317,3,5,49,155,105,,Summary,N,Almond-Bancroft,,487,215,44.14784394,272,55.85215605
2008,15361,3,10,18,121,112,,Summary,N,Altoona,,1490,561,37.65100671,929,62.34899328
2008,9984,3,11,48,26,119,,Summary,N,Amery,,1768,490,27.71493212,1278,72.28506787
2008,17423,3,6,44,16,147,,Summary,N,Appleton Area,,15231,4820,31.64598516,10411,68.35401483
2008,14435,3,4,61,10,154,,Summary,N,Arcadia,,1026,365,35.57504873,661,64.42495126
2008,5957,3,3,33,38,161,,Summary,N,Argyle,,343,72,20.99125364,271,79.00874635
2008,1323,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2312,36,1.55709342,2276,98.44290657
2008,16217,3,12,2,29,170,,Summary,N,Ashland,,2204,1149,52.13248638,1055,47.86751361
2008,12000,3,7,5,54,182,,Summary,N,Ashwaubenon,,3028,510,16.84280052,2518,83.15719947
2008,12450,3,9,37,125,196,,Summary,N,Athens,,532,128,24.06015037,404,75.93984962
2008,12472,3,5,71,126,203,,Summary,N,Auburndale,,907,193,21.27894156,714,78.72105843
2008,15393,3,10,18,120,217,,Summary,N,Augusta,,646,294,45.51083591,352,54.48916408
2008,10012,3,11,55,26,231,,Summary,N,Baldwin-Woodville Area,,1519,344,22.64647794,1175,77.35352205
2008,14462,3,4,32,37,245,,Summary,N,Bangor,,625,159,25.44,466,74.56
2008,9326,3,5,56,114,280,,Summary,N,Baraboo,,3031,445,14.68162322,2586,85.31837677
2008,5979,3,3,25,38,287,,Summary,N,Barneveld,,442,58,13.12217194,384,86.87782805
2008,16384,3,11,3,18,308,,Summary,N,Barron Area,,1328,473,35.61746987,855,64.38253012
2008,16453,3,12,4,20,315,,Summary,N,Bayfield,,422,298,70.61611374,124,29.38388625
2008,9391,3,6,14,45,336,,Summary,N,Beaver Dam Unified,,3390,1140,33.62831858,2250,66.37168141
2008,11045,3,8,38,31,4263,,Summary,N,Beecher-Dunbar-Pembine,,271,160,59.0405904,111,40.95940959
2008,6000,3,2,13,117,350,,Summary,N,Belleville,,934,112,11.99143468,822,88.00856531
2008,6019,3,3,33,38,364,,Summary,N,Belmont Community,,342,84,24.5614035,258,75.43859649
2008,6066,3,2,53,3,413,,Summary,N,Beloit,,7321,4534,61.93143013,2787,38.06856986
2008,6067,3,2,53,159,422,,Summary,N,Beloit Turner,,1287,220,17.09401709,1067,82.9059829
2008,8734,3,3,33,38,427,,Summary,N,Benton,,241,76,31.5352697,165,68.46473029
2008,17531,3,6,24,53,434,,Summary,N,Berlin Area,,1675,500,29.85074626,1175,70.14925373
2008,3826,3,2,64,159,6013,,Summary,N,Big Foot UHS,,574,105,18.29268292,469,81.70731707
2008,16473,3,11,65,21,441,,Summary,N,Birchwood,,328,156,47.5609756,172,52.43902439
2008,7436,3,3,33,38,2240,,Summary,N,Black Hawk,,460,141,30.65217391,319,69.34782608
2008,14480,3,4,27,10,476,,Summary,N,Black River Falls,,1809,638,35.26810392,1171,64.73189607
2008,14509,3,4,61,11,485,,Summary,N,Blair-Taylor,,682,265,38.85630498,417,61.14369501
2008,15412,3,10,9,18,497,,Summary,N,Bloomer,,1131,271,23.96109637,860,76.03890362
2008,10429,3,8,58,156,602,,Summary,N,Bonduel,,879,242,27.53128555,637,72.46871444
2008,8772,3,3,22,131,609,,Summary,N,Boscobel Area,,915,448,48.96174863,467,51.03825136
2008,12495,3,8,58,155,623,,Summary,N,Bowler,,397,218,54.91183879,179,45.0881612
2008,15436,3,11,17,122,637,,Summary,N,Boyceville Community,,817,329,40.26927784,488,59.73072215
2008,3057,3,2,30,41,657,,Summary,N,Brighton #1,,196,20,10.20408163,176,89.79591836
2008,10445,3,7,8,32,658,,Summary,N,Brillion,,954,149,15.61844863,805,84.38155136
2008,2572,3,2,30,41,665,,Summary,N,Bristol #1,,624,85,13.62179487,539,86.37820512
2008,6201,3,2,23,159,700,,Summary,N,Brodhead,,1147,207,18.04707933,940,81.95292066
2008,5422,3,1,40,47,721,,Summary,N,Brown Deer,,1768,441,24.94343891,1327,75.05656108
2008,16484,3,10,54,21,735,,Summary,N,Bruce,,559,300,53.66726296,259,46.33273703
2008,2602,3,2,51,41,777,,Summary,N,Burlington Area,,3673,703,19.13966784,2970,80.86033215
2008,13669,3,12,2,20,840,,Summary,N,Butternut,,168,96,57.14285714,72,42.85714285
2008,15462,3,10,9,121,870,,Summary,N,Cadott Community,,889,358,40.26996625,531,59.73003374
2008,9458,3,5,11,43,882,,Summary,N,Cambria-Friesland,,465,108,23.22580645,357,76.77419354
2008,6236,3,2,13,117,896,,Summary,N,Cambridge,,922,101,10.95444685,821,89.04555314
2008,16508,3,11,3,21,903,,Summary,N,Cameron,,884,250,28.28054298,634,71.71945701
2008,907,3,6,20,14,910,,Summary,N,Campbellsport,,1448,231,15.95303867,1217,84.04696132
2008,14532,3,4,41,37,980,,Summary,N,Cashton,,554,238,42.9602888,316,57.03971119
2008,8801,3,3,22,38,994,,Summary,N,Cassville,,264,69,26.13636363,195,73.86363636
2008,985,3,7,59,6,1029,,Summary,N,Cedar Grove-Belgium Area,,1071,85,7.93650793,986,92.06349206
2008,937,3,1,45,30,1015,,Summary,N,Cedarburg,,3076,149,4.84395318,2927,95.15604681
2008,3618,3,2,30,41,5054,,Summary,N,Central/Westosha UHS,,1239,182,14.68926553,1057,85.31073446
2008,15486,3,11,3,18,1078,,Summary,N,Chetek,,943,347,36.79745493,596,63.20254506
2008,1008,3,7,8,32,1085,,Summary,N,Chilton,,1206,290,24.04643449,916,75.9535655
2008,15526,3,10,9,4,1092,,Summary,N,Chippewa Falls Area Unified,,5016,1381,27.53189792,3635,72.46810207
2008,10047,3,11,48,21,1120,,Summary,N,Clayton,,423,174,41.13475177,249,58.86524822
2008,10058,3,11,48,21,1127,,Summary,N,Clear Lake,,654,184,28.13455657,470,71.86544342
2008,6261,3,2,53,159,1134,,Summary,N,Clinton Community,,1244,279,22.42765273,965,77.57234726
2008,17575,3,8,68,53,1141,,Summary,N,Clintonville,,1574,595,37.8017789,979,62.19822109
