year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2011,12401,3,9,34,124,140,,Summary,N,Antigo Unified,,2575,1356,52.66019417,1219,47.33980582
2011,12337,3,10,10,125,7,,Summary,N,Abbotsford,,698,413,59.16905444,285,40.83094555
2011,9302,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,1820,1248,68.57142857,572,31.42857142
2011,5927,3,2,23,38,63,,Summary,N,Albany,,394,128,32.48730964,266,67.51269035
2011,11290,3,7,31,33,70,,Summary,N,Algoma,,609,238,39.08045977,371,60.91954022
2011,14408,3,4,6,11,84,,Summary,N,Alma,,276,101,36.59420289,175,63.4057971
2011,14429,3,4,27,11,91,,Summary,N,Alma Center,,628,361,57.48407643,267,42.51592356
2011,17317,3,5,49,155,105,,Summary,N,Almond-Bancroft,,446,224,50.22421524,222,49.77578475
2011,15361,3,10,18,121,112,,Summary,N,Altoona,,1513,616,40.71381361,897,59.28618638
2011,9984,3,11,48,26,119,,Summary,N,Amery,,1684,679,40.32066508,1005,59.67933491
2011,17423,3,6,44,16,147,,Summary,N,Appleton Area,,15189,5700,37.52715781,9489,62.47284218
2011,14435,3,4,61,10,154,,Summary,N,Arcadia,,1075,490,45.58139534,585,54.41860465
2011,5957,3,3,33,38,161,,Summary,N,Argyle,,330,97,29.39393939,233,70.6060606
2011,1323,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2280,149,6.53508771,2131,93.46491228
2011,16217,3,12,2,29,170,,Summary,N,Ashland,,2156,1251,58.02411873,905,41.97588126
2011,12000,3,7,5,54,182,,Summary,N,Ashwaubenon,,3156,894,28.32699619,2262,71.6730038
2011,12450,3,9,37,125,196,,Summary,N,Athens,,506,130,25.6916996,376,74.30830039
2011,12472,3,5,71,126,203,,Summary,N,Auburndale,,894,325,36.35346756,569,63.64653243
2011,15393,3,10,18,120,217,,Summary,N,Augusta,,663,360,54.29864253,303,45.70135746
2011,10012,3,11,55,26,231,,Summary,N,Baldwin-Woodville Area,,1628,409,25.12285012,1219,74.87714987
2011,14462,3,4,32,37,245,,Summary,N,Bangor,,601,156,25.95673876,445,74.04326123
2011,9326,3,5,56,114,280,,Summary,N,Baraboo,,3142,1393,44.33481858,1749,55.66518141
2011,5979,3,3,25,38,287,,Summary,N,Barneveld,,462,82,17.74891774,380,82.25108225
2011,16384,3,11,3,18,308,,Summary,N,Barron Area,,1320,774,58.63636363,546,41.36363636
2011,16453,3,12,4,20,315,,Summary,N,Bayfield,,405,321,79.25925925,84,20.74074074
2011,9391,3,6,14,45,336,,Summary,N,Beaver Dam Unified,,3665,1701,46.41200545,1964,53.58799454
2011,11045,3,8,38,31,4263,,Summary,N,Beecher-Dunbar-Pembine,,255,164,64.31372549,91,35.6862745
2011,6000,3,2,13,117,350,,Summary,N,Belleville,,953,194,20.3567681,759,79.64323189
2011,6019,3,3,33,38,364,,Summary,N,Belmont Community,,340,75,22.05882352,265,77.94117647
2011,6066,3,2,53,3,413,,Summary,N,Beloit,,6891,5054,73.34204034,1837,26.65795965
2011,6067,3,2,53,159,422,,Summary,N,Beloit Turner,,1398,525,37.55364806,873,62.44635193
2011,8734,3,3,33,38,427,,Summary,N,Benton,,237,87,36.70886075,150,63.29113924
2011,17531,3,6,24,53,434,,Summary,N,Berlin Area,,1698,645,37.98586572,1053,62.01413427
2011,3826,3,2,64,159,6013,,Summary,N,Big Foot UHS,,520,153,29.42307692,367,70.57692307
2011,16473,3,11,65,21,441,,Summary,N,Birchwood,,311,194,62.37942122,117,37.62057877
2011,7436,3,3,33,38,2240,,Summary,N,Black Hawk,,405,178,43.95061728,227,56.04938271
2011,14480,3,4,27,10,476,,Summary,N,Black River Falls,,1797,814,45.29771841,983,54.70228158
2011,14509,3,4,61,11,485,,Summary,N,Blair-Taylor,,646,284,43.96284829,362,56.0371517
2011,15412,3,10,9,18,497,,Summary,N,Bloomer,,1129,445,39.41541186,684,60.58458813
2011,10429,3,8,58,156,602,,Summary,N,Bonduel,,828,334,40.33816425,494,59.66183574
2011,8772,3,3,22,131,609,,Summary,N,Boscobel Area,,891,475,53.31088664,416,46.68911335
2011,12495,3,8,58,155,623,,Summary,N,Bowler,,384,226,58.85416666,158,41.14583333
2011,15436,3,11,17,122,637,,Summary,N,Boyceville Community,,752,374,49.73404255,378,50.26595744
2011,3057,3,2,30,41,657,,Summary,N,Brighton #1,,205,51,24.87804878,154,75.12195121
2011,10445,3,7,8,32,658,,Summary,N,Brillion,,944,231,24.47033898,713,75.52966101
2011,2572,3,2,30,41,665,,Summary,N,Bristol #1,,659,153,23.21699544,506,76.78300455
2011,6201,3,2,23,159,700,,Summary,N,Brodhead,,1084,386,35.60885608,698,64.39114391
2011,5422,3,1,40,47,721,,Summary,N,Brown Deer,,1718,585,34.05122235,1133,65.94877764
2011,16484,3,10,54,21,735,,Summary,N,Bruce,,518,332,64.09266409,186,35.9073359
2011,2602,3,2,51,41,777,,Summary,N,Burlington Area,,3504,1237,35.30251141,2267,64.69748858
2011,13669,3,12,2,20,840,,Summary,N,Butternut,,210,138,65.71428571,72,34.28571428
2011,15462,3,10,9,121,870,,Summary,N,Cadott Community,,907,393,43.32965821,514,56.67034178
2011,9458,3,5,11,43,882,,Summary,N,Cambria-Friesland,,448,207,46.20535714,241,53.79464285
2011,6236,3,2,13,117,896,,Summary,N,Cambridge,,910,196,21.53846153,714,78.46153846
2011,16508,3,11,3,21,903,,Summary,N,Cameron,,1002,374,37.3253493,628,62.67465069
2011,907,3,6,20,14,910,,Summary,N,Campbellsport,,1455,349,23.98625429,1106,76.0137457
2011,14532,3,4,41,37,980,,Summary,N,Cashton,,600,256,42.66666666,344,57.33333333
2011,8801,3,3,22,38,994,,Summary,N,Cassville,,230,110,47.82608695,120,52.17391304
2011,985,3,7,59,6,1029,,Summary,N,Cedar Grove-Belgium Area,,1139,212,18.61281826,927,81.38718173
2011,937,3,1,45,30,1015,,Summary,N,Cedarburg,,3028,255,8.42140026,2773,91.57859973
2011,3618,3,2,30,41,5054,,Summary,N,Central/Westosha UHS,,1219,277,22.72354388,942,77.27645611
2011,449,3,12,50,125,1071,,Summary,N,Chequamegon,,798,393,49.2481203,405,50.75187969
