year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2007,12401,3,9,34,124,140,,Summary,N,Antigo Unified,,2668,1038,38.90554722,1630,61.09445277
2007,12337,3,10,10,125,7,,Summary,N,Abbotsford,,634,300,47.31861198,334,52.68138801
2007,9302,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,1958,1090,55.66905005,868,44.33094994
2007,5927,3,2,23,38,63,,Summary,N,Albany,,420,61,14.52380952,359,85.47619047
2007,11290,3,7,31,33,70,,Summary,N,Algoma,,610,189,30.98360655,421,69.01639344
2007,14408,3,4,6,11,84,,Summary,N,Alma,,309,72,23.30097087,237,76.69902912
2007,14429,3,4,27,11,91,,Summary,N,Alma Center,,621,288,46.37681159,333,53.6231884
2007,17317,3,5,49,155,105,,Summary,N,Almond-Bancroft,,472,195,41.31355932,277,58.68644067
2007,15361,3,10,18,121,112,,Summary,N,Altoona,,1456,532,36.53846153,924,63.46153846
2007,9984,3,11,48,26,119,,Summary,N,Amery,,1768,476,26.92307692,1292,73.07692307
2007,17423,3,6,44,16,147,,Summary,N,Appleton Area,,15243,4197,27.53395,11046,72.46604999
2007,14435,3,4,61,10,154,,Summary,N,Arcadia,,994,346,34.80885311,648,65.19114688
2007,5957,3,3,33,38,161,,Summary,N,Argyle,,348,75,21.55172413,273,78.44827586
2007,1323,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2344,29,1.23720136,2315,98.76279863
2007,16217,3,12,2,29,170,,Summary,N,Ashland,,2212,1128,50.99457504,1084,49.00542495
2007,12000,3,7,5,54,182,,Summary,N,Ashwaubenon,,3025,485,16.03305785,2540,83.96694214
2007,12450,3,9,37,125,196,,Summary,N,Athens,,537,132,24.58100558,405,75.41899441
2007,12472,3,5,71,126,203,,Summary,N,Auburndale,,884,222,25.11312217,662,74.88687782
2007,15393,3,10,18,120,217,,Summary,N,Augusta,,596,278,46.6442953,318,53.35570469
2007,10012,3,11,55,26,231,,Summary,N,Baldwin-Woodville Area,,1510,275,18.21192052,1235,81.78807947
2007,14462,3,4,32,37,245,,Summary,N,Bangor,,613,162,26.42740619,451,73.5725938
2007,9326,3,5,56,114,280,,Summary,N,Baraboo,,3036,529,17.42424242,2507,82.57575757
2007,5979,3,3,25,38,287,,Summary,N,Barneveld,,432,47,10.87962962,385,89.12037037
2007,16384,3,11,3,18,308,,Summary,N,Barron Area,,1308,452,34.55657492,856,65.44342507
2007,16453,3,12,4,20,315,,Summary,N,Bayfield,,422,248,58.76777251,174,41.23222748
2007,9391,3,6,14,45,336,,Summary,N,Beaver Dam Unified,,3328,1066,32.03125,2262,67.96875
2007,11045,3,8,38,31,4263,,Summary,N,Beecher-Dunbar-Pembine,,281,151,53.7366548,130,46.26334519
2007,6000,3,2,13,117,350,,Summary,N,Belleville,,930,95,10.21505376,835,89.78494623
2007,6019,3,3,33,38,364,,Summary,N,Belmont Community,,343,73,21.28279883,270,78.71720116
2007,6066,3,2,53,3,413,,Summary,N,Beloit,,7125,4299,60.3368421,2826,39.66315789
2007,6067,3,2,53,159,422,,Summary,N,Beloit Turner,,1305,236,18.08429118,1069,81.91570881
2007,8734,3,3,33,38,427,,Summary,N,Benton,,259,82,31.66023166,177,68.33976833
2007,17531,3,6,24,53,434,,Summary,N,Berlin Area,,1687,534,31.65382335,1153,68.34617664
2007,3826,3,2,64,159,6013,,Summary,N,Big Foot UHS,,592,105,17.73648648,487,82.26351351
2007,16473,3,11,65,21,441,,Summary,N,Birchwood,,297,122,41.07744107,175,58.92255892
2007,7436,3,3,33,38,2240,,Summary,N,Black Hawk,,476,146,30.6722689,330,69.32773109
2007,14480,3,4,27,10,476,,Summary,N,Black River Falls,,1834,759,41.38495092,1075,58.61504907
2007,14509,3,4,61,11,485,,Summary,N,Blair-Taylor,,711,260,36.56821378,451,63.43178621
2007,15412,3,10,9,18,497,,Summary,N,Bloomer,,1110,290,26.12612612,820,73.87387387
2007,10429,3,8,58,156,602,,Summary,N,Bonduel,,879,266,30.26166097,613,69.73833902
2007,8772,3,3,22,131,609,,Summary,N,Boscobel Area,,928,391,42.13362068,537,57.86637931
2007,12495,3,8,58,155,623,,Summary,N,Bowler,,425,214,50.35294117,211,49.64705882
2007,15436,3,11,17,122,637,,Summary,N,Boyceville Community,,852,305,35.79812206,547,64.20187793
2007,3057,3,2,30,41,657,,Summary,N,Brighton #1,,197,25,12.69035532,172,87.30964467
2007,10445,3,7,8,32,658,,Summary,N,Brillion,,864,101,11.68981481,763,88.31018518
2007,2572,3,2,30,41,665,,Summary,N,Bristol #1,,616,89,14.44805194,527,85.55194805
2007,6201,3,2,23,159,700,,Summary,N,Brodhead,,1208,215,17.79801324,993,82.20198675
2007,5422,3,1,40,47,721,,Summary,N,Brown Deer,,1822,397,21.78924259,1425,78.2107574
2007,16484,3,10,54,21,735,,Summary,N,Bruce,,582,337,57.90378006,245,42.09621993
2007,2602,3,2,51,41,777,,Summary,N,Burlington Area,,3595,428,11.9054242,3167,88.09457579
2007,13669,3,12,2,20,840,,Summary,N,Butternut,,183,94,51.36612021,89,48.63387978
2007,15462,3,10,9,121,870,,Summary,N,Cadott Community,,891,297,33.33333333,594,66.66666666
2007,9458,3,5,11,43,882,,Summary,N,Cambria-Friesland,,378,61,16.13756613,317,83.86243386
2007,6236,3,2,13,117,896,,Summary,N,Cambridge,,934,87,9.31477516,847,90.68522483
2007,16508,3,11,3,21,903,,Summary,N,Cameron,,845,281,33.25443786,564,66.74556213
2007,907,3,6,20,14,910,,Summary,N,Campbellsport,,1468,234,15.94005449,1234,84.0599455
2007,14532,3,4,41,37,980,,Summary,N,Cashton,,521,211,40.4990403,310,59.50095969
2007,8801,3,3,22,38,994,,Summary,N,Cassville,,272,77,28.30882352,195,71.69117647
2007,985,3,7,59,6,1029,,Summary,N,Cedar Grove-Belgium Area,,1068,105,9.83146067,963,90.16853932
2007,937,3,1,45,30,1015,,Summary,N,Cedarburg,,3106,115,3.70251126,2991,96.29748873
2007,3618,3,2,30,41,5054,,Summary,N,Central/Westosha UHS,,1250,167,13.36,1083,86.64
2007,15486,3,11,3,18,1078,,Summary,N,Chetek,,987,451,45.69402228,536,54.30597771
2007,1008,3,7,8,32,1085,,Summary,N,Chilton,,1245,274,22.00803212,971,77.99196787
2007,15526,3,10,9,4,1092,,Summary,N,Chippewa Falls Area Unified,,4957,1009,20.35505345,3948,79.64494654
2007,10047,3,11,48,21,1120,,Summary,N,Clayton,,431,178,41.29930394,253,58.70069605
2007,10058,3,11,48,21,1127,,Summary,N,Clear Lake,,676,170,25.14792899,506,74.852071
2007,6261,3,2,53,159,1134,,Summary,N,Clinton Community,,1255,252,20.07968127,1003,79.92031872
2007,17575,3,8,68,53,1141,,Summary,N,Clintonville,,1615,607,37.58513931,1008,62.41486068
2007,14599,3,4,6,11,1155,,Summary,N,Cochrane-Fountain City,,693,141,20.34632034,552,79.65367965
2007,12518,3,10,10,120,1162,,Summary,N,Colby,,1024,376,36.71875,648,63.28125
2007,10467,3,8,38,25,1169,,Summary,N,Coleman,,764,248,32.46073298,516,67.53926701
2007,15597,3,11,17,122,1176,,Summary,N,Colfax,,865,251,29.01734104,614,70.98265895
2007,9494,3,5,11,116,1183,,Summary,N,Columbus,,1112,182,16.36690647,930,83.63309352
2007,15615,3,10,9,21,1204,,Summary,N,Cornell,,503,246,48.90656063,257,51.09343936
2007,13694,3,8,21,31,1218,,Summary,N,Crandon,,937,331,35.32550693,606,64.67449306
2007,10489,3,8,38,25,1232,,Summary,N,Crivitz,,748,263,35.1604278,485,64.83957219
2007,8813,3,3,22,131,1246,,Summary,N,Cuba City,,650,145,22.3076923,505,77.69230769
