year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2003,53609,3,9,34,124,140,,Summary,N,Antigo Unified,,2898,1138,39.268461,1760,60.73153899
2003,53607,3,10,10,125,7,,Summary,N,Abbotsford,,655,267,40.76335877,388,59.23664122
2003,53358,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,2157,1051,48.72508113,1106,51.27491886
2003,53516,3,2,23,38,63,,Summary,N,Albany,,448,50,11.16071428,398,88.83928571
2003,53597,3,7,31,33,70,,Summary,N,Algoma,,642,144,22.42990654,498,77.57009345
2003,53415,3,4,6,11,84,,Summary,N,Alma,,398,92,23.11557788,306,76.88442211
2003,53416,3,4,27,11,91,,Summary,N,Alma Center,,614,217,35.34201954,397,64.65798045
2003,53453,3,5,49,155,105,,Summary,N,Almond-Bancroft,,545,207,37.98165137,338,62.01834862
2003,53657,3,10,18,121,112,,Summary,N,Altoona,,1416,395,27.89548022,1021,72.10451977
2003,53369,3,11,48,26,119,,Summary,N,Amery,,1852,466,25.16198704,1386,74.83801295
2003,53692,3,6,44,16,147,,Summary,N,Appleton Area,,14943,3290,22.01699792,11653,77.98300207
2003,53644,3,4,61,10,154,,Summary,N,Arcadia,,925,257,27.78378378,668,72.21621621
2003,53327,3,3,33,38,161,,Summary,N,Argyle,,336,68,20.23809523,268,79.76190476
2003,53469,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2124,0,0,2124,100
2003,53439,3,12,2,29,170,,Summary,N,Ashland,,2309,1083,46.90342139,1226,53.0965786
2003,53604,3,7,5,54,182,,Summary,N,Ashwaubenon,,3126,337,10.78055022,2789,89.21944977
2003,53396,3,9,37,125,196,,Summary,N,Athens,,568,153,26.93661971,415,73.06338028
2003,53397,3,5,71,126,203,,Summary,N,Auburndale,,885,215,24.29378531,670,75.70621468
2003,53658,3,10,18,120,217,,Summary,N,Augusta,,633,311,49.13112164,322,50.86887835
