year,agency_key,agency_type,cesa,county,conferencekey,district_number,school_number,school_type,charter,district_name,school_name,total_enrollment_prek-12,econ_disadv_count,econ_disadv_percent,not_econd_disadv_count,not_econ_disadv_percent
2005,76215,3,9,34,124,140,,Summary,N,Antigo Unified,,2771,1109,40.02165283,1662,59.97834716
2005,76234,3,10,10,125,7,,Summary,N,Abbotsford,,643,270,41.99066874,373,58.00933125
2005,76734,3,5,1,39,14,,Summary,N,Adams-Friendship Area,,2049,1097,53.53831137,952,46.46168862
2005,77110,3,2,23,38,63,,Summary,N,Albany,,400,60,15,340,85
2005,76415,3,7,31,33,70,,Summary,N,Algoma,,610,118,19.34426229,492,80.6557377
2005,75931,3,4,6,11,84,,Summary,N,Alma,,340,85,25,255,75
2005,75934,3,4,27,11,91,,Summary,N,Alma Center,,619,245,39.57996768,374,60.42003231
2005,75503,3,5,49,155,105,,Summary,N,Almond-Bancroft,,504,185,36.7063492,319,63.29365079
2005,75788,3,10,18,121,112,,Summary,N,Altoona,,1409,446,31.65365507,963,68.34634492
2005,79337,3,11,48,26,119,,Summary,N,Amery,,1824,482,26.42543859,1342,73.5745614
2005,75494,3,6,44,16,147,,Summary,N,Appleton Area,,15060,3589,23.8313413,11471,76.16865869
2005,75937,3,4,61,10,154,,Summary,N,Arcadia,,931,286,30.71965628,645,69.28034371
2005,77113,3,3,33,38,161,,Summary,N,Argyle,,364,81,22.25274725,283,77.74725274
2005,77895,3,1,67,8,2450,,Summary,N,Arrowhead UHS,,2350,0,0,2350,100
2005,79187,3,12,2,29,170,,Summary,N,Ashland,,2257,1038,45.99025254,1219,54.00974745
2005,76280,3,7,5,54,182,,Summary,N,Ashwaubenon,,3118,513,16.45285439,2605,83.5471456
2005,76204,3,9,37,125,196,,Summary,N,Athens,,532,122,22.93233082,410,77.06766917
2005,76208,3,5,71,126,203,,Summary,N,Auburndale,,844,221,26.18483412,623,73.81516587
2005,75776,3,10,18,120,217,,Summary,N,Augusta,,585,250,42.73504273,335,57.26495726
2005,76627,3,11,55,26,231,,Summary,N,Baldwin-Woodville Area,,1457,219,15.03088538,1238,84.96911461
2005,75926,3,4,32,37,245,,Summary,N,Bangor,,620,129,20.80645161,491,79.19354838
2005,76727,3,5,56,114,280,,Summary,N,Baraboo,,2980,618,20.73825503,2362,79.26174496
2005,77100,3,3,25,38,287,,Summary,N,Barneveld,,399,35,8.77192982,364,91.22807017
2005,75645,3,11,3,18,308,,Summary,N,Barron Area,,1403,515,36.7070563,888,63.29294369
2005,75633,3,12,4,20,315,,Summary,N,Bayfield,,471,283,60.08492569,188,39.9150743
2005,76721,3,6,14,45,336,,Summary,N,Beaver Dam Unified,,3403,884,25.97707904,2519,74.02292095
2005,76455,3,8,38,31,4263,,Summary,N,Beecher-Dunbar-Pembine,,263,132,50.19011406,131,49.80988593
2005,77103,3,2,13,117,350,,Summary,N,Belleville,,914,87,9.51859956,827,90.48140043
2005,77089,3,3,33,38,364,,Summary,N,Belmont Community,,350,58,16.57142857,292,83.42857142
2005,77078,3,2,53,3,413,,Summary,N,Beloit,,7113,3883,54.59018698,3230,45.40981301
2005,77079,3,2,53,159,422,,Summary,N,Beloit Turner,,1274,194,15.22762951,1080,84.77237048
2005,76792,3,3,33,38,427,,Summary,N,Benton,,43,89,206.9767442,-46,-106.9767442
2005,75477,3,6,24,53,434,,Summary,N,Berlin Area,,1639,381,23.24588163,1258,76.75411836
2005,77466,3,2,64,159,6013,,Summary,N,Big Foot UHS,,601,85,14.14309484,516,85.85690515
2005,75636,3,11,65,21,441,,Summary,N,Birchwood,,189,150,79.36507936,39,20.63492063
2005,76899,3,3,33,38,2240,,Summary,N,Black Hawk,,527,127,24.09867172,400,75.90132827
2005,75914,3,4,27,10,476,,Summary,N,Black River Falls,,1910,661,34.60732984,1249,65.39267015
2005,75917,3,4,61,11,485,,Summary,N,Blair-Taylor,,677,245,36.18906942,432,63.81093057
2005,75780,3,10,9,18,497,,Summary,N,Bloomer,,1060,258,24.33962264,802,75.66037735
2005,76549,3,8,58,156,602,,Summary,N,Bonduel,,862,255,29.58236658,607,70.41763341
2005,76797,3,3,22,131,609,,Summary,N,Boscobel Area,,940,362,38.51063829,578,61.4893617
2005,76212,3,8,58,155,623,,Summary,N,Bowler,,462,188,40.69264069,274,59.3073593
2005,79207,3,11,17,122,637,,Summary,N,Boyceville Community,,920,363,39.45652173,557,60.54347826
2005,77589,3,2,30,41,657,,Summary,N,Brighton #1,,191,19,9.94764397,172,90.05235602
2005,76554,3,7,8,32,658,,Summary,N,Brillion,,847,123,14.52184179,724,85.4781582
2005,77664,3,2,30,41,665,,Summary,N,Bristol #1,,577,64,11.09185441,513,88.90814558
2005,77070,3,2,23,159,700,,Summary,N,Brodhead,,1219,208,17.06316652,1011,82.93683347
2005,77186,3,1,40,47,721,,Summary,N,Brown Deer,,1850,363,19.62162162,1487,80.37837837
2005,79184,3,10,54,21,735,,Summary,N,Bruce,,601,312,51.91347753,289,48.08652246
2005,79567,3,2,51,41,777,,Summary,N,Burlington Area,,3693,613,16.59897102,3080,83.40102897
2005,76022,3,12,2,20,840,,Summary,N,Butternut,,198,97,48.98989898,101,51.01010101
2005,75773,3,10,9,121,870,,Summary,N,Cadott Community,,857,282,32.90548424,575,67.09451575
2005,76711,3,5,11,43,882,,Summary,N,Cambria-Friesland,,480,99,20.625,381,79.375
2005,77057,3,2,13,117,896,,Summary,N,Cambridge,,955,56,5.86387434,899,94.13612565
2005,75626,3,11,3,21,903,,Summary,N,Cameron,,865,249,28.78612716,616,71.21387283
2005,77963,3,6,20,14,910,,Summary,N,Campbellsport,,1484,171,11.52291105,1313,88.47708894
2005,75906,3,4,41,37,980,,Summary,N,Cashton,,551,218,39.56442831,333,60.43557168
2005,76783,3,3,22,38,994,,Summary,N,Cassville,,300,74,24.66666666,226,75.33333333
2005,77943,3,7,59,6,1029,,Summary,N,Cedar Grove-Belgium Area,,1020,79,7.74509803,941,92.25490196
2005,79635,3,1,45,30,1015,,Summary,N,Cedarburg,,3161,84,2.6573869,3077,97.34261309
2005,77493,3,2,30,41,5054,,Summary,N,Central/Westosha UHS,,1193,104,8.71751886,1089,91.28248113
2005,79202,3,11,3,18,1078,,Summary,N,Chetek,,1069,384,35.92142188,685,64.07857811
2005,77947,3,7,8,32,1085,,Summary,N,Chilton,,1246,202,16.211878,1044,83.78812199
2005,75757,3,10,9,4,1092,,Summary,N,Chippewa Falls Area Unified,,4474,1169,26.12874385,3305,73.87125614
2005,76615,3,11,48,21,1120,,Summary,N,Clayton,,407,161,39.55773955,246,60.44226044
2005,76618,3,11,48,21,1127,,Summary,N,Clear Lake,,541,143,26.43253234,398,73.56746765
2005,77061,3,2,53,159,1134,,Summary,N,Clinton Community,,1217,258,21.19967132,959,78.80032867
2005,79155,3,8,68,53,1141,,Summary,N,Clintonville,,1535,499,32.50814332,1036,67.49185667
2005,75903,3,4,6,11,1155,,Summary,N,Cochrane-Fountain City,,736,145,19.70108695,591,80.29891304
2005,76198,3,10,10,120,1162,,Summary,N,Colby,,1071,334,31.18580765,737,68.81419234
2005,76542,3,8,38,25,1169,,Summary,N,Coleman,,783,375,47.8927203,408,52.10727969
2005,75745,3,11,17,122,1176,,Summary,N,Colfax,,828,212,25.60386473,616,74.39613526
2005,76706,3,5,11,116,1183,,Summary,N,Columbus,,1149,210,18.2767624,939,81.72323759
2005,75748,3,10,9,21,1204,,Summary,N,Cornell,,532,277,52.06766917,255,47.93233082
2005,79243,3,8,21,31,1218,,Summary,N,Crandon,,958,419,43.73695198,539,56.26304801
2005,76546,3,8,38,25,1232,,Summary,N,Crivitz,,845,285,33.72781065,560,66.27218934
2005,76786,3,3,22,131,1246,,Summary,N,Cuba City,,688,137,19.91279069,551,80.0872093
2005,77651,3,1,40,47,1253,,Summary,N,Cudahy,,2850,920,32.28070175,1930,67.71929824
2005,75630,3,11,3,18,1260,,Summary,N,Cumberland,,164,377,229.8780488,-213,-129.8780488
2005,76099,3,9,37,46,4970,,Summary,N,D C Everest Area,,5306,1064,20.05277044,4242,79.94722955
2005,78954,3,3,33,131,1295,,Summary,N,Darlington Community,,826,137,16.58595641,689,83.41404358
2005,77044,3,2,13,114,1316,,Summary,N,De Forest Area,,3225,405,12.55813953,2820,87.44186046
2005,76538,3,7,5,54,1414,,Summary,N,De Pere,,3422,384,11.22150789,3038,88.7784921
2005,75899,3,4,62,35,1421,,Summary,N,De Soto Area,,556,164,29.49640287,392,70.50359712
2005,79427,3,2,13,43,1309,,Summary,N,Deerfield Community,,714,105,14.70588235,609,85.29411764
2005,77642,3,2,64,41,1380,,Summary,N,Delavan-Darien,,2803,1028,36.67499108,1775,63.32500891
2005,76392,3,7,5,2,1407,,Summary,N,Denmark,,1621,181,11.16594694,1440,88.83405305
2005,79617,3,6,14,43,2744,,Summary,N,Dodgeland,,785,174,22.16560509,611,77.8343949
2005,77048,3,3,25,42,1428,,Summary,N,Dodgeville,,1313,291,22.16298552,1022,77.83701447
2005,77590,3,2,51,41,1449,,Summary,N,Dover #1,,90,12,13.33333333,78,86.66666666
2005,75618,3,12,4,20,1491,,Summary,N,Drummond Area,,552,198,35.86956521,354,64.13043478
2005,78955,3,11,46,26,1499,,Summary,N,Durand,,1156,295,25.51903114,861,74.48096885
2005,77638,3,2,64,158,1540,,Summary,N,East Troy Community,,1701,134,7.87771898,1567,92.12228101
2005,75802,3,10,18,4,1554,,Summary,N,Eau Claire Area,,10432,2987,28.63305214,7445,71.36694785
2005,76191,3,9,37,126,1561,,Summary,N,Edgar,,618,112,18.12297734,506,81.87702265
2005,77038,3,2,53,158,1568,,Summary,N,Edgerton,,1791,268,14.96370742,1523,85.03629257
2005,79050,3,9,34,31,1582,,Summary,N,Elcho,,408,180,44.11764705,228,55.88235294
2005,79190,3,10,61,11,1600,,Summary,N,Eleva-Strum,,650,150,23.07692307,500,76.92307692
2005,79201,3,11,17,122,1645,,Summary,N,Elk Mound Area,,934,196,20.9850107,738,79.01498929
2005,77924,3,7,59,6,1631,,Summary,N,Elkhart Lake-Glenbeulah,,564,0,0,564,100
2005,77628,3,2,64,41,1638,,Summary,N,Elkhorn Area,,2761,383,13.87178558,2378,86.12821441
2005,76608,3,11,47,26,1659,,Summary,N,Ellsworth Community,,1709,281,16.44236395,1428,83.55763604
2005,77956,3,1,67,17,714,,Summary,N,Elmbrook,,7617,489,6.41985033,7128,93.58014966
2005,75731,3,11,47,123,1666,,Summary,N,Elmwood,,349,86,24.64183381,263,75.35816618
2005,77902,3,6,66,45,1687,,Summary,N,Erin,,378,13,3.43915343,365,96.56084656
2005,77026,3,2,53,158,1694,,Summary,N,Evansville Community,,1681,233,13.86079714,1448,86.13920285
2005,75735,3,10,18,121,1729,,Summary,N,Fall Creek,,890,199,22.35955056,691,77.64044943
2005,76696,3,5,11,43,1736,,Summary,N,Fall River,,470,67,14.25531914,403,85.74468085
2005,76775,3,3,22,131,1813,,Summary,N,Fennimore Community,,793,172,21.68978562,621,78.31021437
2005,75962,3,10,54,21,5757,,Summary,N,Flambeau,,670,292,43.58208955,378,56.41791044
2005,76527,3,8,19,31,1855,,Summary,N,Florence County,,668,240,35.92814371,428,64.07185628
2005,79151,3,6,20,16,1862,,Summary,N,Fond du Lac,,7269,2058,28.3120099,5211,71.68799009
2005,77619,3,2,64,159,1870,,Summary,N,Fontana J8,,287,21,7.31707317,266,92.68292682
2005,77017,3,2,28,115,1883,,Summary,N,Fort Atkinson,,2686,510,18.98734177,2176,81.01265822
2005,79473,3,1,40,30,1890,,Summary,N,Fox Point J2,,950,66,6.94736842,884,93.05263157
2005,77601,3,1,40,40,1900,,Summary,N,Franklin Public,,3988,375,9.40320962,3613,90.59679037
